,mse_observation_loss,saturation_loss,ce_reward_loss,reward_precision,reward_recall,reward_bacc,reward_f1,reward_rate
0,0.08595078438520432,0.0,0.6539478302001953,,,,,0.0
1,0.12176161259412766,0.07081720232963562,0.7031771540641785,,,,,0.0
2,0.354718416929245,0.10846837610006332,0.5320819616317749,,,,,0.0
3,0.32551518082618713,0.06964137405157089,0.4404723048210144,,,,,0.0
4,0.29573917388916016,0.029171524569392204,0.30639350414276123,,,,,0.0
5,0.32189393043518066,0.04596685618162155,0.18955719470977783,,,,,0.0
6,0.28281769156455994,0.07503154128789902,0.2290162891149521,,,,,0.0
7,0.24988053739070892,0.037939250469207764,0.17353938519954681,,,,,0.0
8,0.17977014183998108,0.03508435934782028,0.07727038860321045,,,,,0.0
9,0.12223462015390396,0.03297979384660721,0.0770060271024704,,,,,0.0
10,0.13826417922973633,0.03598194941878319,0.0393410250544548,,,,,0.0
11,0.1252981722354889,0.04666272923350334,0.05834222212433815,,,,,0.0
12,0.11733461916446686,0.039505571126937866,0.03127111867070198,,,,,0.0
13,0.12196836620569229,0.042327940464019775,0.033640071749687195,,,,,0.0
14,0.148302361369133,0.0329989418387413,0.024512361735105515,,,,,0.0
15,0.11976628005504608,0.032810013741254807,0.01841254159808159,,,,,0.0
16,0.11667400598526001,0.03786686807870865,0.019445955753326416,,,,,0.0
17,0.10919642448425293,0.03370475023984909,0.00355568528175354,,,,,0.0
18,0.1533224880695343,0.03649250045418739,0.0046888962388038635,,,,,0.0
19,0.12767770886421204,0.03733125329017639,0.005278363823890686,,,,,0.0
20,0.10769599676132202,0.03727930039167404,0.003930438309907913,,,,,0.0
21,0.0968000590801239,0.03224968910217285,0.007222075015306473,,,,,0.0
22,0.10155022144317627,0.03183150291442871,0.009964454919099808,,,,,0.0
23,0.10522199422121048,0.03602948784828186,0.006519433110952377,,,,,0.0
24,0.07589787989854813,0.031500913202762604,0.002570711076259613,,,,,0.0
25,0.07286019623279572,0.023668568581342697,0.007948335260152817,,,,,0.0
26,0.06822391599416733,0.024359963834285736,0.00428086519241333,,,,,0.0
27,0.06503050774335861,0.021298063918948174,0.001311957836151123,,,,,0.0
28,0.045848626643419266,0.02185671031475067,0.006407331675291061,,,,,0.0
29,0.05611022934317589,0.02044639363884926,0.0015791133046150208,,,,,0.0
30,0.047258343547582626,0.020045557990670204,0.00027539581060409546,,,,,0.0
31,0.05933048576116562,0.022017933428287506,0.0020680613815784454,,,,,0.0
32,0.07596778124570847,0.020093388855457306,0.0019468218088150024,,,,,0.0
33,0.04896966367959976,0.023176245391368866,0.0011659115552902222,,,,,0.0
34,0.03543377295136452,0.023269981145858765,0.23950573801994324,0.0,0.0,0.5,,0.25
35,0.027632249519228935,0.0229631420224905,0.0003759413957595825,,,,,0.0
36,0.02780590020120144,0.02315472811460495,0.001429334282875061,,,,,0.0
37,0.02406754344701767,0.021949946880340576,0.10647983849048615,0.0,0.0,0.5,,0.125
38,0.026133010163903236,0.02187291532754898,0.005950041115283966,,,,,0.0
39,0.045315131545066833,0.022543760016560555,0.0036733821034431458,,,,,0.0
40,0.0271945521235466,0.022011883556842804,0.004852764308452606,,,,,0.0
41,0.0323338657617569,0.021171724423766136,0.0018552877008914948,,,,,0.0
42,0.02249055728316307,0.02322692982852459,0.17640770971775055,0.0,0.0,0.5,,0.125
43,0.01654309220612049,0.02396230399608612,0.0020979121327400208,,,,,0.0
44,0.02126394584774971,0.02039513923227787,0.004031121730804443,,,,,0.0
45,0.011592177674174309,0.017837457358837128,0.008014842867851257,,,,,0.0
46,0.01149011217057705,0.015466204844415188,0.005099453032016754,,,,,0.0
47,0.0130084827542305,0.015255390666425228,0.005859889090061188,,,,,0.0
48,0.020883232355117798,0.014452427625656128,0.01525256410241127,,,,,0.0
49,0.018266241997480392,0.01331598311662674,0.003987833857536316,,,,,0.0
50,0.01194172166287899,0.016642391681671143,0.01305815577507019,,,,,0.0
51,0.01744144596159458,0.018561217933893204,0.000270940363407135,,,,,0.0
